Vertebrata	MIR-4541
Vertebrata	MIR-455
Vertebrata	MIR-456
Vertebrata	MIR-459
Vertebrata	MIR-499
Vertebrata	MIR-551
Vertebrata	MIR-875
Xenacoelomorpha	MIR-12495
Xenacoelomorpha	MIR-12496
Xenopus	MIR-12478
Xenopus	MIR-12479
Xenopus	MIR-12480
Xenopus	MIR-12481
Xenopus	MIR-12482
Xenopus	MIR-12483
Xenopus	MIR-12484
Xenopus	MIR-12485
Xenopus	MIR-12486
D.melanogaster+D.simulans	MIR-4983
D.melanogaster+D.simulans	MIR-972
D.melanogaster+D.simulans	MIR-982
D.melanogaster+D.simulans	MIR-985
D.melanogaster-group	MIR-1007
D.melanogaster-group	MIR-959
D.melanogaster-group	MIR-961
D.melanogaster-group	MIR-978
D.melanogaster-group	MIR-986
D.melanogaster-subgroup	MIR-1001
D.melanogaster-subgroup	MIR-303
D.melanogaster-subgroup	MIR-4969
D.melanogaster-subgroup	MIR-966
D.melanogaster-subgroup	MIR-967
D.melanogaster-subgroup	MIR-983
D.melanogaster-subgroup	MIR-991
D.melanogaster-subgroup	MIR-992
